keyword,CDT,CDT-translation,CDT-English-Post,,,,,,,
习＋老好人,1,Xi+nice guy,http://wp.me/p2pAV0-HEG,,,,,,,
不伦不类,1,wishy-washy,http://wp.me/p2pAV0-HCF,,,,,,,
习＋作秀,1,Xi+put on a show,http://wp.me/p2pAV0-HCF,,,,,,,
习＋炒作,1,Xi+speculate,http://wp.me/p2pAV0-HCF,,,,,,,
习＋演戏,1,Xi+put on an act,http://wp.me/p2pAV0-HCF,,,,,,,
习＋大动作,1,Xi+big move,http://wp.me/p2pAV0-HCF,,,,,,,
习＋新政,1,Xi+new administration,http://wp.me/p2pAV0-HCF,,,,,,,
习＋前任,1,Xi+predecessor,http://wp.me/p2pAV0-HCF,,,,,,,
习＋周,1,Xi+Zhou [Yongkang],http://wp.me/p2pAV0-HCF,,,,,,,
李东生＋习,1,Li Dongsheng+Xi,http://wp.me/p2pAV0-HCF,,,,,,,
习负责,1,Xi is responsible [for...],http://wp.me/p2pAV0-HCF,,,,,,,
习明（泽）,1,Xi Ming[ze],http://wp.me/p2pAV0-HCF,,,,,,,
政治谣言,1,political rumor,http://wp.me/p2pAV0-HCF,,,,,,,
政治内幕,1,politics behind the scenes,http://wp.me/p2pAV0-HCF,,,,,,,
刀＋新疆,1,knife+Xinjiang,http://wp.me/p2pAV0-HCF,,,,,,,
军队＋警察,1,army+police,http://wp.me/p2pAV0-HCF,,,,,,,
毛＋专制,1,Mao+autocracy,http://wp.me/p2pAV0-HCF,,,,,,,
毛＋独裁,1,Mao+dictatorship,http://wp.me/p2pAV0-HCF,,,,,,,
周老虎,1,Tiger Zhou,http://wp.me/p2pAV0-Hzv,,,,,,,
周政法,1,Politburo Zhou,http://wp.me/p2pAV0-Hzv,,,,,,,
方便面＋下台,1,instant noodles+leave office,http://wp.me/p2pAV0-Hzv,,,,,,,
方便面＋出事,1,instant noodles+have a mishap,http://wp.me/p2pAV0-Hzv,,,,,,,
方便面＋双规,1,instant noodles+double detention,http://wp.me/p2pAV0-Hzv,,,,,,,
方便面＋被抓,1,instant noodles+caught,http://wp.me/p2pAV0-Hzv,,,,,,,
方便面＋被捕,1,instant noodles+arrested,http://wp.me/p2pAV0-Hzv,,,,,,,
习＋老虎,1,Xi+tiger,http://wp.me/p2pAV0-Hzv,,,,,,,
吴兵＋白手套,1,Wu Bin+white glove,http://wp.me/p2pAV0-Hzv,,,,,,,
令谷,1,Ling Gu,http://wp.me/p2pAV0-Hzv,,,,,,,
谌洪果,1,Chen Hongguo,http://wp.me/p2pAV0-HqI,,,,,,,
李东生＋汤灿,1,Li Dongsheng+Tang Can,http://wp.me/p2pAV0-HqI,,,,,,,
李东生＋周,1,Li Dongsheng+Zhou,http://wp.me/p2pAV0-HqI,,,,,,,
李东生＋zhou,1,Li Dongzheng+zhou,http://wp.me/p2pAV0-HqI,,,,,,,
李东生＋ZK,1,Li Dongsheng+ZK,http://wp.me/p2pAV0-HqI,,,,,,,
曹建明＋调查,1,Cao Jianming+investigate,http://wp.me/p2pAV0-HqI,,,,,,,
习＋某平,1,Xi+Some-ping,http://wp.me/p2pAV0-HqI,,,,,,,
习＋平平,1,Xi+Pingping,http://wp.me/p2pAV0-HqI,,,,,,,
习＋亲属,1,Xi+relatives,http://wp.me/p2pAV0-HqI,,,,,,,
联合报,1,United Daily News,http://wp.me/p2pAV0-HqI,,,,,,,
联合新闻网,1,United Daily News Net,http://wp.me/p2pAV0-HqI,,,,,,,
政府比房产商黑,1,government is shadier than property developers,http://wp.me/p2pAV0-Hng,,,,,,,
kang,1,[Zhou Yong]kang,http://wp.me/p2pAV0-Hng,,,,,,,
康康,1,Kangkang [Zhou Yongkang],http://wp.me/p2pAV0-Hng,,,,,,,
周勇康,1,Zhou Brave [yong]-kang,http://wp.me/p2pAV0-Hng,,,,,,,
周永糠,1,Zhou Yong-bran [kang],http://wp.me/p2pAV0-Hng,,,,,,,
州永康,1,State [Zhou] Yongkang,http://wp.me/p2pAV0-Hng,,,,,,,
洲永康,1,Continent [Zhou] Yongkang,http://wp.me/p2pAV0-Hng,,,,,,,
粥永康,1,Congee [Zhou] Yongkang,http://wp.me/p2pAV0-Hng,,,,,,,
粥永糠,1,Congee Yong-bran,http://wp.me/p2pAV0-Hng,,,,,,,
粥涌康,1,Congee Gush [yong]-kang,http://wp.me/p2pAV0-Hng,,,,,,,
舟永康,1,Boat [Zhou] Yongkang,http://wp.me/p2pAV0-Hng,,,,,,,
咏康,1,Chant [yong]-kang,http://wp.me/p2pAV0-Hng,,,,,,,
咏糠,1,Chant-bran,http://wp.me/p2pAV0-Hng,,,,,,,
涌康,1,Gush-kang,http://wp.me/p2pAV0-Hng,,,,,,,
涌糠,1,Gush-bran,http://wp.me/p2pAV0-Hng,,,,,,,
臃康,1,Swollen [yong]-kang,http://wp.me/p2pAV0-Hng,,,,,,,
媒体管制,1,regulation of media,http://wp.me/p2pAV0-Hng,,,,,,,
微博＋审查,1,Weibo+censor,http://wp.me/p2pAV0-H2F,,,,,,,
小秘书＋审查,1,little secretary+censor,http://wp.me/p2pAV0-H2F,,,,,,,
总理＋改革,1,premier+reform,http://wp.me/p2pAV0-H2F,,,,,,,
王铮,1,Wang Zheng,http://wp.me/p2pAV0-H2F,,,,,,,
至宪党,1,Zhi Xian Party,http://wp.me/p2pAV0-H2F,,,,,,,
天安门＋访民,1,Tiananmen+petitioners,http://wp.me/p2pAV0-H2F,,,,,,,
天安门＋撒传单,1,Tiananmen+scatter pamphlets,http://wp.me/p2pAV0-H2F,,,,,,,
（天）安门＋静坐,1,(Tian)anmen+sit-in,http://wp.me/p2pAV0-H2F,,,,,,,
天安门＋炸弹,1,Tiananmen+bomb,http://wp.me/p2pAV0-H2F,,,,,,,
天安门＋爆炸,1,Tiananmen+explosion,http://wp.me/p2pAV0-H2F,,,,,,,
宪法法院,1,constitutional court,http://wp.me/p2pAV0-H2F,,,,,,,
（习）近平＋薄,1,(Xi) Jinping+Bo [Xilai],http://wp.me/p2pAV0-H2F,,,,,,,
（习）近平＋锦涛,1,(Xi) Jinping+[Hu] Jintao,http://wp.me/p2pAV0-H2F,,,,,,,
余姚＋现场,1,Yuyao+scene [of incident],http://goo.gl/tVBBk0,,,,,,,
余姚＋政府,1,Yuyao+government,http://goo.gl/tVBBk0,,,,,,,
余姚＋下台,1,Yuyao+step down,http://goo.gl/tVBBk0,,,,,,,
余姚＋武警,1,Yuyao+armed police,http://goo.gl/tVBBk0,,,,,,,
余姚＋特警,1,Yuyao+SWAT,http://goo.gl/tVBBk0,,,,,,,
余姚＋聚集,1,Yuyao+assemble,http://goo.gl/tVBBk0,,,,,,,
余姚＋冲突,1,Yuyao+conflict,http://goo.gl/tVBBk0,,,,,,,
余姚＋抗议,1,Yuyao+protest,http://goo.gl/tVBBk0,,,,,,,
余姚＋示威,1,Yuyao+demonstration,http://goo.gl/tVBBk0,,,,,,,
余姚＋集会,1,Yuyao+assembly,http://goo.gl/tVBBk0,,,,,,,
毛宏芳60分下台,1,Mao Hongfang 60 points step down,http://goo.gl/tVBBk0,,,,,,,
习＋家族,1,Xi+family,http://goo.gl/6xt9f4,,,,,,,
习仲勋＋儿子,1,Xi Zhongxun+son,http://goo.gl/6xt9f4,,,,,,,
高层恩怨与习仲勋,1,"Grudges, Gratitude, and Xi Zhongxun",http://goo.gl/6xt9f4,,,,,,,
习＋明镜出版社,1,Xi+Mingjing Press,http://goo.gl/6xt9f4,,,,,,,
刁明泽,1,Xi Mingze,http://goo.gl/6xt9f4,,,,,,,
习正宁,1,Xi Zhengning,http://goo.gl/6xt9f4,,,,,,,
习富平,1,Xi Fuping,http://goo.gl/6xt9f4,,,,,,,
习和平,1,Xi Heping,http://goo.gl/6xt9f4,,,,,,,
习干平,1,Xi Ganping,http://goo.gl/6xt9f4,,,,,,,
习桥桥,1,Xi Qiaoqiao,http://goo.gl/6xt9f4,,,,,,,
习安安,1,Xi An'an,http://goo.gl/6xt9f4,,,,,,,
习远平,1,Xi Yuanping,http://goo.gl/6xt9f4,,,,,,,
刁远平,1,Diao Yuanping,http://goo.gl/6xt9f4,,,,,,,
习明正,1,Xi Mingzheng,http://goo.gl/6xt9f4,,,,,,,
中华民国＋万岁,1,long live+Republic of China,http://goo.gl/DldnXQ,,,,,,,
安全沙皇,1,security czar,http://goo.gl/DldnXQ,,,,,,,
周永kang,1,Zhou Yongkang,http://goo.gl/DldnXQ,,,,,,,
z永康,1,z Yongkang,http://goo.gl/DldnXQ,,,,,,,
周康康,1,Zhou Kangkang,http://goo.gl/DldnXQ,,,,,,,
康师傅＋中石油,1,Kang Shifu+CNPC,http://goo.gl/DldnXQ,,,,,,,
康师傅＋儿子,1,Kang Shifu+son,http://goo.gl/DldnXQ,,,,,,,
周薄,1,Zhou Bo,http://goo.gl/DldnXQ,,,,,,,
习＋同志,1,comrade+Xi,http://goo.gl/DldnXQ,,,,,,,
夏俊峰＋头七,1,Xia Junfeng+touqi [seventh day after death],http://goo.gl/Pj5Ma9,,,,,,,
夏俊峰＋出殡,1,Xia Junfeng+hold a funeral procession,http://goo.gl/Pj5Ma9,,,,,,,
国殇,1,national martyr,http://goo.gl/Pj5Ma9,,,,,,,
习梦撕,1,Xi The Dream-Ripper,http://goo.gl/Pj5Ma9,,,,,,,
蒋公剿匪不力,1,Master Chiang fails to suppress the bandits,http://goo.gl/Pj5Ma9,,,,,,,
习梦撕（指习,1,Doctor [of Philosophy] Xi,http://goo.gl/Qs2UsV,,,,,,,
习＋论文,1,Xi+dissertation,http://goo.gl/Qs2UsV,,,,,,,
刘美珣,1,Liu Meixun,http://goo.gl/Qs2UsV,,,,,,,
半羽,1,Half-Feather,http://goo.gl/Qs2UsV,,,,,,,
习三胖,1,Xi Third-Fatty,http://goo.gl/Qs2UsV,,,,,,,
习＋左,1,Xi+left,http://goo.gl/Qs2UsV,,,,,,,
习＋新政,1,Xi+new administration,http://goo.gl/Qs2UsV,,,,,,,
习＋司令,1,Xi+commanding officer,http://goo.gl/Qs2UsV,,,,,,,
宪政,1,constitutionalism,,,,,,,,
薄＋刘,1,Bo+Liu,http://goo.gl/xxKoSY,,,,,,,
薄＋死,1,Bo+death,http://goo.gl/xxKoSY,,,,,,,
薄＋保外就医,1,Bo+medical parole,http://goo.gl/xxKoSY,,,,,,,
薄＋（周）永康,1,Bo+(Zhou) Yongkang,http://goo.gl/xxKoSY,,,,,,,
薄王,1,Bo Wang,http://goo.gl/xxKoSY,,,,,,,
薄胡,1,Bo Hu,http://goo.gl/xxKoSY,,,,,,,
五个重庆,1,Five Chongqings,http://goo.gl/xxKoSY,,,,,,,
党内斗争,1,internal Party struggle,http://goo.gl/xxKoSY,,,,,,,
挺薄,1,support Bo,http://goo.gl/xxKoSY,,,,,,,
薄公,1,Master Bo,http://goo.gl/xxKoSY,,,,,,,
怀念＋薄,1,think fondly of+Bo,http://goo.gl/xxKoSY,,,,,,,
南华（早报）＋马云,1,South China (Morning Post)+Jack Ma,http://goo.gl/mm0Ja,,,,,,,
南华＋编辑部声明,1,South China+editors' statement,http://goo.gl/mm0Ja,,,,,,,
南华＋刘怡,1,South China+Liu Yi,http://goo.gl/mm0Ja,,,,,,,
马云＋六四,1,Jack Ma+Six Four,http://goo.gl/mm0Ja,,,,,,,
马云＋64,1,Jack Ma+64,http://goo.gl/mm0Ja,,,,,,,
马云＋八九,1,Jack Ma+Eight Nine,http://goo.gl/mm0Ja,,,,,,,
马云＋89,1,Jack Ma+89,http://goo.gl/mm0Ja,,,,,,,
许＋志＋永,1,Xu+Zhi+yong,http://goo.gl/7GQJi,,,,,,,
许博士,1,Dr. [of Philosophy] Xu,http://goo.gl/7GQJi,,,,,,,
刘卫国,1,Liu Weiguo,http://goo.gl/7GQJi,,,,,,,
康素萍,1,Kang Suping,http://goo.gl/7GQJi,,,,,,,
陈建刚,1,Chen Jiangang,http://goo.gl/7GQJi,,,,,,,
孙村派出所,1,Suncun Police Station,http://goo.gl/7GQJi,,,,,,,
第三看守所,1,No. 3 Detention Center,http://goo.gl/7GQJi,,,,,,,
财产公示,1,financial disclosure,http://goo.gl/7GQJi,,,,,,,
GSK,1,GSK,http://goo.gl/7GQJi,,,,,,,
葛兰素史克,1,GlaxoSmithKline,http://goo.gl/7GQJi,,,,,,,
李小琳,1,Li Xiaolin,http://goo.gl/7GQJi,,,,,,,
香港+七一,1,Hong Kong+seven one,http://goo.gl/vjwnN,,,,,,,
张晓明,1,Zhang Xiaoming,http://goo.gl/vjwnN,,,,,,,
基本法+23,1,Basic Law+23,http://goo.gl/vjwnN,,,,,,,
基本法+二十三,1,Basic Law+twenty-three,http://goo.gl/vjwnN,,,,,,,
江贼,1,Jiang Betray[-the-People],http://goo.gl/vjwnN,,,,,,,
贼民,1,[Jiang] Betray-the-People,http://goo.gl/vjwnN,,,,,,,
中环,1,Central [Hong Kong neighborhood],http://goo.gl/JATC6,,,,,,,
七一+散步,1,seven one+take a walk,http://goo.gl/JATC6,,,,,,,
游xing,1,YOUxing [march],http://goo.gl/JATC6,,,,,,,
皮帽子,1,leather hat,http://goo.gl/JATC6,,,,,,,
呆婊,1,stupid prostitutes,http://goo.gl/JATC6,,,,,,,
和田,1,Hotan,http://goo.gl/q3Ena,,,,,,,
新疆+恐怖,1,Xinjiang+terror,http://goo.gl/q3Ena,,,,,,,
新疆+暴力,1,Xinjiang+violence,http://goo.gl/q3Ena,,,,,,,
新疆+27人死亡,1,Xinjiang+27 people dead,http://goo.gl/q3Ena,,,,,,,
新疆+（小）偷,1,Xinjiang+(little) thief,http://goo.gl/q3Ena,,,,,,,
浙大教授+上书,1,Zhejiang U. professor+submit letter to superior,http://goo.gl/q3Ena,,,,,,,
浙江大学+上书,1,Zhejiang University+submit letter to superior,http://goo.gl/q3Ena,,,,,,,
习帝,1,Emperor Xi [Jinping],http://goo.gl/q3Ena,,,,,,,
习大人,1,His Excellency Xi [Jinping],http://goo.gl/q3Ena,,,,,,,
政法委,1,Politics and Law Commission,http://goo.gl/q3Ena,,,,,,,
zhengbian,1,zhengbian (coup),http://goo.gl/q3Ena,,,,,,,
李广年,1,Li Guangnian,http://goo.gl/duLCe,,,,,,,
18岁情妇,1,18-year-old mistress,http://goo.gl/duLCe,,,,,,,
中国动态调查委员会主任,1,Director of the Commission of Inquiry on Domestic Dynamics,http://goo.gl/duLCe,,,,,,,
孙政才+孟山都,1,Sun Zhengcai+Monsanto,http://goo.gl/duLCe,,,,,,,
孙政才+转基因,1,Sun Zhengcai+genetic modification,http://goo.gl/duLCe,,,,,,,
亡党,1,lose the Party,http://goo.gl/duLCe,,,,,,,
纪英男,1,Ji Yingnan,http://goo.gl/o7XVk,,,,,,,
范悦+包养,1,Fan Yue+keep a lover,http://goo.gl/o7XVk,,,,,,,
副司长+包养,1,deputy director+keep a lover,http://goo.gl/o7XVk,,,,,,,
裸照,1,nude photo,http://goo.gl/o7XVk,,,,,,,
栗战书,1,Li Zhanshu,http://goo.gl/o7XVk,,,,,,,
Li战书,1,Li Zhanshu,http://goo.gl/o7XVk,,,,,,,
栗zhanshu,1,Li Zhanshu,http://goo.gl/o7XVk,,,,,,,
习哥,1,Brother Xi,http://goo.gl/o7XVk,,,,,,,
刁哥,1,Brother Sly,http://goo.gl/o7XVk,,,,,,,
彭+手机,1,Peng+cell phone,http://goo.gl/LUoB2,,,,,,,
彭+拍照,1,Peng+take a photo,http://goo.gl/LUoB2,,,,,,,
彭+苹果,1,Peng+apple,http://goo.gl/LUoB2,,,,,,,
彭+iphone,1,Peng+iPhone,http://goo.gl/LUoB2,,,,,,,
第一夫人+手机,1,first lady+cell phone,http://goo.gl/LUoB2,,,,,,,
第一夫人+苹果,1,first lady+apple,http://goo.gl/LUoB2,,,,,,,
第一夫人+iphone,1,first lady+iPhone,http://goo.gl/LUoB2,,,,,,,
国母+手机,1,first lady+cell phone,http://goo.gl/LUoB2,,,,,,,
国母+苹果,1,first lady+apple,http://goo.gl/LUoB2,,,,,,,
国母+iphone,1,first lady+iPhone,http://goo.gl/LUoB2,,,,,,,
习夫人+手机,1,Mrs. Xi+cell phone,http://goo.gl/LUoB2,,,,,,,
习夫人+拍照,1,Mrs. Xi+take a photo,http://goo.gl/LUoB2,,,,,,,
习夫人+苹果,1,Mrs. Xi+apple,http://goo.gl/LUoB2,,,,,,,
习夫人+iphone,1,Mrs. Xi+iPhone,http://goo.gl/LUoB2,,,,,,,
peng+liyuan,1,peng+liyuan,http://goo.gl/LUoB2,,,,,,,
当前意识形态领域情况,1,current situation of the ideological sphere,http://goo.gl/LUoB2,,,,,,,
89,1,89,http://goo.gl/IZQ49,,,,,,,
64+24,1,64+24,http://goo.gl/IZQ49,,,,,,,
tank,1,tank,http://goo.gl/IZQ49,,,,,,,
anniversary,1,anniversary,http://goo.gl/IZQ49,,,,,,,
hk64,1,hk64,http://goo.gl/IZQ49,,,,,,,
viiv,1,viiv,http://goo.gl/IZQ49,,,,,,,
（大）黄鸭,1,(big) yellow duck,http://goo.gl/IZQ49,,,,,,,
烛光,1,candlelight,http://goo.gl/IZQ49,,,,,,,
己巳月+乙未日,1,Jisi month+Yiwei day,http://goo.gl/IZQ49,,,,,,,
八的平方,1,square of eight,http://goo.gl/IZQ49,,,,,,,
祭奠,1,memorial ceremony,http://goo.gl/IZQ49,,,,,,,
不适宜对外公开,1,inappropriate for the public,http://goo.gl/IZQ49,,,,,,,
网络封锁,1,Internet block,http://goo.gl/IZQ49,,,,,,,
蟹农场,1,Hexie Farm,http://goo.gl/IZQ49,,,,,,,
敏感词,1,sensitive word,http://goo.gl/IZQ49,,,,,,,
习+影帝,1,Xi+movie star,http://goo.gl/IZQ49,,,,,,,
35,1,35,http://goo.gl/Kd51L,,,,,,,
63+1,1,63+1,http://goo.gl/Kd51L,,,,,,,
65-1,1,65-1,http://goo.gl/Kd51L,,,,,,,
24年,1,24 years,http://goo.gl/Kd51L,,,,,,,
june,1,june,http://goo.gl/Kd51L,,,,,,,
Jun+4th,1,Jun+4th,http://goo.gl/Kd51L,,,,,,,
三十五,1,thirty-five,http://goo.gl/Kd51L,,,,,,,
二十四,1,twenty-four,http://goo.gl/Kd51L,,,,,,,
六+四,1,six+four,http://goo.gl/Kd51L,,,,,,,
六4,1,six 4,http://goo.gl/Kd51L,,,,,,,
6四,1,6 four,http://goo.gl/Kd51L,,,,,,,
liusi,1,liusi (six four),http://goo.gl/Kd51L,,,,,,,
bajiu,1,bajiu,http://goo.gl/Kd51L,,,,,,,
陆肆,1,six four,http://goo.gl/Kd51L,,,,,,,
陆四,1,six four,http://goo.gl/Kd51L,,,,,,,
六肆,1,six four,http://goo.gl/Kd51L,,,,,,,
捌玖,1,eight nine,http://goo.gl/Kd51L,,,,,,,
捌九,1,eight nine,http://goo.gl/Kd51L,,,,,,,
八玖,1,eight nine,http://goo.gl/Kd51L,,,,,,,
六four,1,six four,http://goo.gl/Kd51L,,,,,,,
six四,1,six four,http://goo.gl/Kd51L,,,,,,,
six+four,1,six+four,http://goo.gl/Kd51L,,,,,,,
八八,1,eight eight,http://goo.gl/Kd51L,,,,,,,
今天,1,today,http://goo.gl/Kd51L,,,,,,,
明天,1,tomorrow,http://goo.gl/Kd51L,,,,,,,
那年,1,that year,http://goo.gl/Kd51L,,,,,,,
那天,1,that day,http://goo.gl/Kd51L,,,,,,,
特殊的日子,1,special day,http://goo.gl/Kd51L,,,,,,,
艾晓明,1,Ai Xiaoming,http://goo.gl/Kd51L,,,,,,,
晚会,1,evening event,http://goo.gl/Kd51L,,,,,,,
蜡烛,1,candle,http://goo.gl/Kd51L,,,,,,,
纪念,1,commemorate,http://goo.gl/Kd51L,,,,,,,
TAM,1,TAM,http://goo.gl/Kd51L,,,,,,,
tiananmen,1,tiananmen,http://goo.gl/Kd51L,,,,,,,
square,1,square,http://goo.gl/Kd51L,,,,,,,
天安门,1,tiananmen,http://goo.gl/Kd51L,,,,,,,
广场,1,square,http://goo.gl/Kd51L,,,,,,,
金水桥,1,Jinshuiqiao,http://goo.gl/Kd51L,,,,,,,
反官倒,1,against bureaucratic profiteering,http://goo.gl/Kd51L,,,,,,,
长安街,1,Changan Avenue,http://goo.gl/Kd51L,,,,,,,
木樨地,1,Muxidi,http://goo.gl/Kd51L,,,,,,,
公主坟,1,Gongzhufen,http://goo.gl/Kd51L,,,,,,,
上街,1,take to the streets,http://goo.gl/Kd51L,,,,,,,
坦克,1,tank,http://goo.gl/Kd51L,,,,,,,
戒严,1,martial law,http://goo.gl/Kd51L,,,,,,,
学运,1,student movement,http://goo.gl/Kd51L,,,,,,,
学潮,1,student strike,http://goo.gl/Kd51L,,,,,,,
镇压,1,suppression,http://goo.gl/Kd51L,,,,,,,
屠杀,1,massacre,http://goo.gl/Kd51L,,,,,,,
游行,1,march,http://goo.gl/Kd51L,,,,,,,
北京屠城,1,Beijing massacred,http://goo.gl/Kd51L,,,,,,,
丁子霖,1,Ding Zilin,http://goo.gl/Kd51L,,,,,,,
张先玲,1,Zhang Xianling,http://goo.gl/Kd51L,,,,,,,
胡耀邦,1,Hu Yaobang,http://goo.gl/Kd51L,,,,,,,
赵紫阳,1,Zhao Ziyang,http://goo.gl/Kd51L,,,,,,,
李鹏,1,Li Peng,http://goo.gl/Kd51L,,,,,,,
袁木,1,Yuan Mu,http://goo.gl/Kd51L,,,,,,,
严家其,1,Yan Jiaqi,http://goo.gl/Kd51L,,,,,,,
高官+留学子女,1,high officials+children studying abroad,http://goo.gl/9HrOy,,,,,,,
高官子女+回国,1,children of high officials+return home,http://goo.gl/9HrOy,,,,,,,
二十四周年,1,twenty-fourth anniversary,http://goo.gl/9HrOy,,,,,,,
维园+晚会,1,Victoria Park+evening event,http://goo.gl/9HrOy,,,,,,,
司徒华,1,Szeto Wah,http://goo.gl/9HrOy,,,,,,,
李建国+调查,1,Li Jianguo+investigation,http://goo.gl/9HrOy,,,,,,,
李维国,1,Li Weiguo,http://goo.gl/ARhOc,,,,,,,
徐向荣,1,Xu Xiangrong,http://goo.gl/ARhOc,,,,,,,
李文生,1,Li Wensheng,http://goo.gl/ARhOc,,,,,,,
24周年,1,24th anniversary,http://goo.gl/ARhOc,,,,,,,
youxing,1,youxing (march),http://goo.gl/ARhOc,,,,,,,
鲍朴,1,Bao Pu,http://goo.gl/ARhOc,,,,,,,
福清纪委爆炸案,1,Fuqing Discipline Inspection Commission Bombing Incident,http://goo.gl/QpNww,,,,,,,
吴昌龙,1,Wu Changlong,http://goo.gl/QpNww,,,,,,,
吴英华,1,Wu Huaying,http://goo.gl/QpNww,,,,,,,
林秀英,1,Lin Xiuying,http://goo.gl/QpNww,,,,,,,
陈科云,1,Chen Keyun,http://goo.gl/QpNww,,,,,,,
潘涂,1,Pantu,http://goo.gl/QpNww,,,,,,,
王补,1,Wang Bu,http://goo.gl/nepr9,,,,,,,
围观+黑监狱,1,surround and watch+black jails,http://goo.gl/nepr9,,,,,,,
资阳黑监狱,1,Ziyang black jail,http://goo.gl/nepr9,,,,,,,
维权律师,1,rights defense lawyers,http://goo.gl/nepr9,,,,,,,
赤匪,1,red bandits,http://goo.gl/nepr9,,,,,,,
红匪,1,red bandits,http://goo.gl/nepr9,,,,,,,
gong匪,1,gong bandits,http://goo.gl/nepr9,,,,,,,
gongfei,1,gongfei,http://goo.gl/nepr9,,,,,,,
钟涛,1,Zhong Tao,http://goo.gl/2j8u3,,,,,,,
京+wen,1,Jing+wen,http://goo.gl/2j8u3,,,,,,,
袁莉亚,1,Yuan Liya,http://goo.gl/2j8u3,,,,,,,
七不讲,1,seven say-nots,http://goo.gl/2j8u3,,,,,,,
何兵,1,He Bing,http://goo.gl/2j8u3,,,,,,,
六点声明,1,six-point statement,http://goo.gl/2j8u3,,,,,,,
邓卓棣+美国,1,Deng Zhuodi+U.S.,http://goo.gl/LyUV4,,,,,,,
邓卓棣+性骚扰,1,Deng Zhuodi+sexual harassment,http://goo.gl/LyUV4,,,,,,,
邓卓棣+红三代,1,Deng Zhuodi+red third generation,http://goo.gl/LyUV4,,,,,,,
安徽女子,1,Anhui girl,http://goo.gl/LyUV4,,,,,,,
京+温,1,Jing+Wen,http://goo.gl/EwyGz,,,,,,,
袁利亚,1,Yuan Liya,http://goo.gl/EwyGz,,,,,,,
木樨园,1,Muxiyuan,http://goo.gl/EwyGz,,,,,,,
大红门,1,Dahongmen,http://goo.gl/EwyGz,,,,,,,
南三环,1,South Third Ring [Road],http://goo.gl/EwyGz,,,,,,,
直升机,1,helicopter,http://goo.gl/EwyGz,,,,,,,
国轩,1,Guoxuan,http://goo.gl/eytd7,,,,,,,
电池厂,1,battery factory,http://goo.gl/eytd7,,,,,,,
5月4日+散步,1,May Fourth+take a walk,http://goo.gl/eytd7,,,,,,,
5月4日+示威,1,May Fourth+demonstrate,http://goo.gl/eytd7,,,,,,,
朱令,1,Zhu Ling,http://goo.gl/eytd7,,,,,,,
孙维,1,Sun Wei,http://goo.gl/eytd7,,,,,,,
铊,1,thallium,http://goo.gl/eytd7,,,,,,,
清华+中毒,1,Tsinghua+poisoning,http://goo.gl/eytd7,,,,,,,
清华+投毒,1,Tsinghua+poison,http://goo.gl/eytd7,,,,,,,
财产公示+九君子,1,financial disclosure+nine gentlemen,http://goo.gl/EmPe2,,,,,,,
赵长青,1,Zhao Changqing,http://goo.gl/EmPe2,,,,,,,
丁家喜,1,Ding Jiaxi,http://goo.gl/EmPe2,,,,,,,
色力布亚,1,Selibuya,http://goo.gl/EmPe2,,,,,,,
世维会,1,World Uyghur Congress,http://goo.gl/EmPe2,,,,,,,
25周年,1,25th anniversary,http://goo.gl/EmPe2,,,,,,,
成都PX项目,1,Chengdu PX project,http://goo.gl/EmPe2,,,,,,,
5月4日+九眼桥+散步,1,May 4th+Jiuyan Bridge+take a walk,http://goo.gl/EmPe2,,,,,,,
彭州+PX,1,Pengzhou+PX,http://goo.gl/EmPe2,,,,,,,
地产党,1,Real Estate Party,http://goo.gl/EmPe2,,,,,,,
范继跃,1,Fan Jiyue,http://goo.gl/lutr0,,,,,,,
芦山县委书记,1,Lushan County Party Secretary,http://goo.gl/lutr0,,,,,,,
李克强+作秀,1,Li Keqiang+put on a show,http://goo.gl/lutr0,,,,,,,
总理+影帝,1,prime minister+movie star,http://goo.gl/lutr0,,,,,,,
三峡+四川地震,1,Three Gorges+Sichuan earthquake,http://goo.gl/lutr0,,,,,,,
西金平,1,West Gold-peace (Xi Jinping),http://goo.gl/lutr0,,,,,,,
西晋平,1,Western Jin Peace (Xi Jinping),http://goo.gl/lutr0,,,,,,,
洗尽平,1,Fully-washed Peace,http://goo.gl/lutr0,,,,,,,
洗净平,1,Whistle-clean Peace (Xi Jinping),http://goo.gl/lutr0,,,,,,,
洗进瓶,1,Wash into Bottle (Xi Jinping),http://goo.gl/lutr0,,,,,,,
锡金瓶,1,Sikkim Bottle (Xi Jinping),http://goo.gl/lutr0,,,,,,,
一帆风顺,1,may the wind fill your sails,http://goo.gl/qyrPJ,,,,,,,
微服（私访）,1,dress as a commoner (to secrectly see how commoners live),http://goo.gl/qyrPJ,,,,,,,
钓鱼台,1,Diaoyutai [State Guesthouse],http://goo.gl/qyrPJ,,,,,,,
郭立新,1,Guo Lixin,http://goo.gl/qyrPJ,,,,,,,
习+假新闻,1,Xi+fake news,http://goo.gl/qyrPJ,,,,,,,
习+出租,1,Xi+hire,http://goo.gl/qyrPJ,,,,,,,
习+打的,1,Xi+hail a taxi,http://goo.gl/qyrPJ,,,,,,,
习+打车,1,Xi+hail a car,http://goo.gl/qyrPJ,,,,,,,
习+的哥,1,Xi+Taxi Brother,http://goo.gl/qyrPJ,,,,,,,
习+总书记,1,Xi+secretary-general,http://goo.gl/qyrPJ,,,,,,,
xi+总书记,1,xi+secretary-general,http://goo.gl/qyrPJ,,,,,,,
